Date updated:,5 Jan 26,,,,,,YouTube Video explaining estimation choices and process.,Notes,
Created by:,"Aswath Damodaran, adamodar@stern.nyu.edu",,,,,,,"Pricing ratios (or multiples) can be used to price companies, with the end game of determining whether they are under or over priced.",
What is this data?,Enterprise value multiples,,,,US companies,,,,
Home Page:,http://www.damodaran.com,,,,,,,,
Data website:,https://pages.stern.nyu.edu/~adamodar/New_Home_Page/data.html,,,,,,,,
Companies in each industry:,https://pages.stern.nyu.edu/~adamodar/pc/datasets/indname.xls,,,,,,,,
Variable definitions:,https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/variable.htm,,,,,,,,
,,Only positive EBITDA firms,,,,All firms,,,
Industry Name,Number of firms,EV/EBITDAR&D,EV/EBITDA,EV/EBIT,EV/EBIT (1-t),EV/EBITDAR&D,EV/EBITDA,EV/EBIT,EV/EBIT (1-t)
Advertising,52,10.21,12.00,20.91,28.29,12.41,15.12,21.15,28.62
Aerospace/Defense,79,16.77,21.58,34.79,44.35,24.28,33.42,41.06,52.34
Air Transport,23,7.35,7.58,19.32,27.36,9.63,9.99,21.02,29.76
Apparel,35,10.30,10.30,16.09,19.78,13.88,13.89,16.12,19.82
Auto & Truck,33,28.72,47.76,160.32,NA,30.35,51.85,162.97,NA
Auto Parts,35,4.46,6.43,12.38,20.10,5.88,9.11,14.18,23.01
Bank (Money Center),15,NA,NA,NA,NA,NA,NA,NA,NA
Banks (Regional),568,NA,NA,NA,NA,NA,NA,NA,NA
Beverage (Alcoholic),14,8.61,8.61,10.75,13.20,8.31,8.31,10.77,13.22
Beverage (Soft),27,16.58,16.90,20.14,25.03,17.86,18.24,20.15,25.04
Broadcasting,24,7.84,7.85,11.16,14.32,7.66,7.66,11.30,14.50
Brokerage & Investment Banking,32,NA,NA,NA,NA,NA,NA,NA,NA
Building Materials,41,10.83,11.61,15.97,22.39,11.01,11.81,15.99,22.40
Business & Consumer Services,155,13.35,14.26,20.15,26.48,15.03,16.17,20.53,26.99
