line,Y1,Y2,Y3,Y4,Y5
revenue,88.0,95.04,100.74,105.78,110.01
ebitda_adj,17.6,19.01,20.15,21.16,22.0
da,3.52,3.8,4.03,4.23,4.4
ebit,14.08,15.21,16.12,16.92,17.6
maint_capex,3.08,3.33,3.53,3.7,3.85
growth_capex,6.0,0.0,0.0,0.0,0.0
delta_nwc,0.96,0.84,0.68,0.6,0.51
fcf_pre_debt,5.05,12.02,12.73,13.3,13.78
tax.ati,17.6,19.01,20.15,21.16,22.0
tax.capped_interest_pool,3.77,3.67,3.03,2.45,1.75
tax.uncapped_deductions,0.28,0.26,0.28,0.28,0.4
tax.deductible_capped_interest,3.77,3.67,3.03,2.45,1.75
tax.s163j_carryforward_end,0.0,0.0,0.0,0.0,0.0
tax.taxable_before_nol,10.03,11.28,12.81,14.19,15.45
tax.acquired_nol_used,0.0,0.0,0.0,0.0,0.0
tax.postclose_nol_used,0.0,0.0,0.0,0.0,0.0
tax.nol_banked,0.0,0.0,0.0,0.0,0.0
tax.cash_tax,2.51,2.82,3.2,3.55,3.86
Senior.beginning_balance,48.0,43.2,38.4,31.27,22.33
Senior.cash_interest,3.77,3.39,3.01,2.45,1.75
Senior.pik_accrual,0.0,0.0,0.0,0.0,0.0
Senior.mandatory_amort,4.8,4.8,4.8,4.8,4.8
Senior.sweep_repayment,0.0,0.0,2.33,4.14,5.63
Senior.ending_balance,43.2,38.4,31.27,22.33,11.89
revolver.beginning_drawn,0.0,3.62,0.15,0.0,0.0
revolver.cash_interest,0.0,0.27,0.01,0.0,0.0
revolver.commitment_fee,0.1,0.08,0.1,0.1,0.1
revolver.repayment,0.0,3.47,0.15,0.0,0.0
revolver.draw,3.62,0.0,0.0,0.0,0.0
revolver.ending_drawn,3.62,0.15,0.0,0.0,0.0
wf.opening_cash,4.0,4.0,4.0,6.33,8.14
wf.sweep_pool,0.0,0.0,4.66,8.28,11.27
wf.sweep_applied_total,0.0,0.0,2.33,4.14,5.63
wf.closing_cash,4.0,4.0,6.33,8.14,9.63
